timestamp,__name__,endpoint,instance,job,kind,namespace,pod,prometheus,service,stop_reason,user,value
2024-07-03 08:45:00.407000065,tgi_request_success,http,10.128.3.52:3000,tgis-bam,single,fmaas-monitoring,llama3-mig3g,openshift-user-workload-monitoring/user-workload,tgis-bam,EOS_TOKEN,Alan,141.0
2024-07-03 08:45:05.407000065,tgi_request_success,http,10.128.3.52:3000,tgis-bam,single,fmaas-monitoring,llama3-mig3g,openshift-user-workload-monitoring/user-workload,tgis-bam,EOS_TOKEN,Alan,141.0
2024-07-03 08:45:10.407000065,tgi_request_success,http,10.128.3.52:3000,tgis-bam,single,fmaas-monitoring,llama3-mig3g,openshift-user-workload-monitoring/user-workload,tgis-bam,EOS_TOKEN,Alan,141.0
2024-07-03 08:45:15.407000065,tgi_request_success,http,10.128.3.52:3000,tgis-bam,single,fmaas-monitoring,llama3-mig3g,openshift-user-workload-monitoring/user-workload,tgis-bam,EOS_TOKEN,Alan,141.0
2024-07-03 08:45:20.407000065,tgi_request_success,http,10.128.3.52:3000,tgis-bam,single,fmaas-monitoring,llama3-mig3g,openshift-user-workload-monitoring/user-workload,tgis-bam,EOS_TOKEN,Alan,141.0
2024-07-03 08:45:25.407000065,tgi_request_success,http,10.128.3.52:3000,tgis-bam,single,fmaas-monitoring,llama3-mig3g,openshift-user-workload-monitoring/user-workload,tgis-bam,EOS_TOKEN,Alan,141.0
2024-07-03 08:45:30.407000065,tgi_request_success,http,10.128.3.52:3000,tgis-bam,single,fmaas-monitoring,llama3-mig3g,openshift-user-workload-monitoring/user-workload,tgis-bam,EOS_TOKEN,Alan,141.0
2024-07-03 08:45:35.407000065,tgi_request_success,http,10.128.3.52:3000,tgis-bam,single,fmaas-monitoring,llama3-mig3g,openshift-user-workload-monitoring/user-workload,tgis-bam,EOS_TOKEN,Alan,141.0
2024-07-03 08:45:40.407000065,tgi_request_success,http,10.128.3.52:3000,tgis-bam,single,fmaas-monitoring,llama3-mig3g,openshift-user-workload-monitoring/user-workload,tgis-bam,EOS_TOKEN,Alan,141.0
2024-07-03 08:45:45.407000065,tgi_request_success,http,10.128.3.52:3000,tgis-bam,single,fmaas-monitoring,llama3-mig3g,openshift-user-workload-monitoring/user-workload,tgis-bam,EOS_TOKEN,Alan,141.0
2024-07-03 08:45:50.407000065,tgi_request_success,http,10.128.3.52:3000,tgis-bam,single,fmaas-monitoring,llama3-mig3g,openshift-user-workload-monitoring/user-workload,tgis-bam,EOS_TOKEN,Alan,141.0
2024-07-03 08:45:55.407000065,tgi_request_success,http,10.128.3.52:3000,tgis-bam,single,fmaas-monitoring,llama3-mig3g,openshift-user-workload-monitoring/user-workload,tgis-bam,EOS_TOKEN,Alan,141.0
2024-07-03 08:46:00.407000065,tgi_request_success,http,10.128.3.52:3000,tgis-bam,single,fmaas-monitoring,llama3-mig3g,openshift-user-workload-monitoring/user-workload,tgis-bam,EOS_TOKEN,Alan,141.0
2024-07-03 08:46:05.407000065,tgi_request_success,http,10.128.3.52:3000,tgis-bam,single,fmaas-monitoring,llama3-mig3g,openshift-user-workload-monitoring/user-workload,tgis-bam,EOS_TOKEN,Alan,141.0
2024-07-03 08:46:10.407000065,tgi_request_success,http,10.128.3.52:3000,tgis-bam,single,fmaas-monitoring,llama3-mig3g,openshift-user-workload-monitoring/user-workload,tgis-bam,EOS_TOKEN,Alan,141.0
2024-07-03 08:46:15.407000065,tgi_request_success,http,10.128.3.52:3000,tgis-bam,single,fmaas-monitoring,llama3-mig3g,openshift-user-workload-monitoring/user-workload,tgis-bam,EOS_TOKEN,Alan,141.0
2024-07-03 08:46:20.407000065,tgi_request_success,http,10.128.3.52:3000,tgis-bam,single,fmaas-monitoring,llama3-mig3g,openshift-user-workload-monitoring/user-workload,tgis-bam,EOS_TOKEN,Alan,141.0
2024-07-03 08:46:25.407000065,tgi_request_success,http,10.128.3.52:3000,tgis-bam,single,fmaas-monitoring,llama3-mig3g,openshift-user-workload-monitoring/user-workload,tgis-bam,EOS_TOKEN,Alan,141.0
